fips,county,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
137,Morgan,36174,37200,37300,37400,37600,37300,37500,37700,37800,37300,37502,37625,37158,37307,36976,37338,37121,36796,36505,36397,36443,36582,36626,36994,37085,37079,37104,36793,36617,36546,36638,36403,36262,36241,36332,36101,35966,35936,35761,35602,35553,35561,35279,35038,34929,34828,34194,33798
139,Moultrie,13263,13600,13500,13500,13500,13700,13800,14000,13900,14600,14546,14649,14650,14669,14511,14392,14268,14184,14086,13930,13946,13909,14014,13865,13960,14051,14128,14221,14179,14198,14327,14324,14362,14432,14521,14587,14565,14666,14743,14787,14853,14916,14973,14903,14837,14931,14599,14688
141,Ogle,42867,42600,43400,44000,44500,44900,45100,45200,45900,46300,46338,46679,46059,46025,45920,45969,45457,45270,45491,45957,46059,46892,47413,48053,48725,49166,49810,50074,50368,50751,51275,51468,51758,52227,52536,52893,53358,53634,53802,53621,53448,53160,52839,52377,52085,51659,51168,51063
143,Peoria,195318,198800,200200,200100,200600,200500,201500,200700,200700,200400,200466,200006,197990,194712,190605,186607,182189,180602,180825,182827,183155,184365,184358,184355,184139,184816,184720,184384,184006,184042,183186,182348,182685,182338,182613,182868,183446,184048,184803,186930,186270,186675,187193,188529,187319,186221,185296,183011
145,Perry,19757,20200,20300,20400,20500,20900,21200,21400,21800,21700,21714,22080,21977,22176,22258,22219,22093,21907,21536,21412,21420,21388,21322,21426,21332,21322,21457,21374,21273,23223,23055,23006,22708,22631,22630,22608,22692,22596,22434,22374,22331,22236,22070,21861,21672,21543,21382,21285
147,Piatt,15509,15700,15900,16000,16000,16200,16400,16400,16500,16500,16581,16701,16493,16404,16305,16192,15978,15830,15777,15548,15550,15602,15650,15919,15904,16037,16144,16311,16231,16388,16387,16357,16216,16375,16463,16649,16682,16664,16716,16774,16712,16672,16507,16440,16431,16387,16526,16445
149,Pike,19185,19200,19500,19300,19400,19600,19500,19300,19100,18900,18896,19121,18879,18932,18788,18443,18045,17878,17894,17577,17551,17459,17421,17412,17149,17209,17253,17594,17590,17490,17320,17178,17031,16866,16910,16862,16632,16772,16615,16473,16400,16377,16279,16142,16022,15989,15882,15821
151,Pope,3857,3900,4100,4200,4200,4300,4300,4400,4500,4600,4404,4480,4367,4375,4587,4541,4538,4477,4408,4373,4356,4404,4316,4376,4384,4421,4407,4391,4370,4366,4411,4376,4334,4393,4424,4346,4397,4439,4393,4431,4460,4452,4289,4332,4276,4226,4295,4325
153,Pulaski,8741,8900,9000,8900,8900,9000,9300,9300,9200,9300,8840,8860,8733,8456,8349,8225,8105,7919,7727,7523,7519,7463,7489,7422,7419,7482,7421,7334,7426,7406,7294,7118,7001,6859,6733,6575,6434,6359,6198,6164,6140,6007,5971,5904,5815,5678,5603,5509
155,Putnam,5007,5000,5200,5400,5500,5600,5600,5800,5800,6000,6085,6193,6076,6101,6090,5990,5841,5775,5669,5730,5740,5777,5779,5797,5879,5847,5871,5965,5992,6080,6065,6052,6061,6074,6015,5977,5931,5987,5989,5997,5994,5968,5875,5825,5814,5644,5717,5727
